county_code,population_adult,prison_entries_per_100,income_p_c,unemploy_per_100,poverty_per_100,pop_o_per,pop_b_per,crime_per_100,crime_idx,percent_reg_repub,percent_reg_repub_10,percent_poverty,pers_property_mill,drug_offenses,income_p_c_100,vio_offence_per_100,prop_offence_per_100,drug_offence_per_100,poverty_per_mill,unemploy_perc,hs_attainment_perc
37049,"75,537",372.0031243,24591,5810.397554,20154.36144,7.511499628,22.40761316,5687.279082,4296,33.92028696,3.392028696,16,1416.6,62,245.91,426.2811602,5260.997922,82.07898116,20.15436144,10.5,87.2
37051,"240,968",391.7532618,22285,5316.473557,20557.9164,11.77339674,36.66425613,7995.667475,19267,24.68481405,2.468481405,16.6,3139.953,151,222.85,691.7931012,7303.874373,62.66392218,20.5579164,9.4,89.2
37053,"21,000",228.5714286,26083,4033.333333,9352.380952,3.832185348,5.779929503,3261.904762,685,32.19900018,3.219900018,8.5,367.736,12,260.83,228.5714286,3033.333333,57.14285714,9.352380952,6.8,85
37055,"31,479",314.4953779,30327,7261.98418,11099.46313,5.168041508,2.458726415,6464.627212,2035,29.53611713,2.953611713,10.5,675.834,30,303.27,349.4393087,6115.187903,95.30162966,11.09946313,10.7,91.5
37057,"128,227",464.800705,22268,7377.541391,17949.41783,6.821268985,8.853866084,3433.754202,4403,46.12324095,4.612324095,14.5,1729.531,123,222.68,281.5319706,3152.222231,95.92363543,17.94941783,12.5,80.4
37059,"33,516",256.5938656,26139,6492.42153,14622.86669,6.129668849,6.287584869,3070.175439,1029,54.30105522,5.430105522,12.2,609.313,16,261.39,271.5121136,2798.663325,47.7383936,14.62286669,10.8,85.4
37061,"42,760",371.8428438,16693,5161.365762,30949.4855,17.27016224,25.25083326,3875.116932,1657,24.36859347,2.436859347,23.7,727.388,54,166.93,502.8063611,3372.310571,126.2862488,30.9494855,9,71.4
37063,"202,727",391.6597197,27503,5576.464901,19520.34016,15.26599169,37.62473423,7353.238592,14907,15.42518955,1.542518955,16.1,4641.221,158,275.03,839.0594247,6514.179167,77.93732458,19.52034016,8,86.9
37065,"40,136",867.0520231,16747,9295.893961,29945.68467,3.91499081,57.35429339,13695.93382,5497,15.30108326,1.530108326,22.3,653.563,63,167.47,2072.951963,11622.98186,156.9663145,29.94568467,15.6,79.5
37067,"273,681",369.0427907,26213,6335.112777,18613.64143,11.53000969,26.01505689,7083.429248,19386,32.94552983,3.294552983,15.3,5303.729,243,262.13,690.9504131,6392.478835,88.78950311,18.61364143,9.9,87
37069,"46,707",372.535166,21331,6033.356884,18258.50515,7.203140334,26.74409014,3183.676965,1487,29.89945696,2.989945696,15,667.885,39,213.31,175.5625495,3008.114415,83.49926135,18.25850515,10.3,81.2
37071,"158,889",399.6500702,22305,7453.001781,20901.38399,6.515449377,15.2513999,5238.248085,8323,38.93305097,3.893305097,16.6,2327.213,139,223.05,589.0904971,4649.157588,87.48245631,20.90138399,12.2,81
