fips,value,Percent,Cum.
40031,6,0.43,43.19
40037,1,0.07,43.26
40049,1,0.07,43.33
40051,3,0.22,43.54
40055,1,0.07,43.62
40065,1,0.07,43.69
40071,2,0.14,43.83
40079,2,0.14,43.97
40087,1,0.07,44.05
40089,1,0.07,44.12
40091,2,0.14,44.26
40097,1,0.07,44.33
40101,4,0.29,44.62
40103,2,0.14,44.76
40109,39,2.8,47.56
40113,1,0.07,47.63
40115,1,0.07,47.7
40119,1,0.07,47.78
40121,2,0.14,47.92
40125,2,0.14,48.06
40129,1,0.07,48.13
40133,1,0.07,48.21
40135,2,0.14,48.35
40137,3,0.22,48.57
40141,1,0.07,48.64
40143,18,1.29,49.93
41047,1,0.07,50
41065,1,0.07,50.07
42043,1,0.07,50.14
42091,1,0.07,50.22
42101,1,0.07,50.29
45003,4,0.29,50.57
45007,2,0.14,50.72
45013,2,0.14,50.86
45015,1,0.07,50.93
45017,1,0.07,51
45019,7,0.5,51.51
45035,2,0.14,51.65
45037,1,0.07,51.72
45043,1,0.07,51.79
45045,3,0.22,52.01
45051,2,0.14,52.15
45053,2,0.14,52.3
45057,1,0.07,52.37
45063,5,0.36,52.73
45075,1,0.07,52.8
45079,4,0.29,53.08
45083,2,0.14,53.23
45091,2,0.14,53.37
46081,1,0.07,53.44
46083,1,0.07,53.52
46093,1,0.07,53.59
47003,1,0.07,53.66
47037,1,0.07,53.73
47087,1,0.07,53.8
47157,3,0.22,54.02
48001,4,0.29,54.3
48007,1,0.07,54.38
48013,1,0.07,54.45
48017,1,0.07,54.52
48019,1,0.07,54.59
48021,1,0.07,54.66
48025,1,0.07,54.73
48027,3,0.22,54.95
48029,38,2.73,57.68
48037,6,0.43,58.11
48039,4,0.29,58.39
48041,11,0.79,59.18
48049,1,0.07,59.25
48055,1,0.07,59.33
48061,6,0.43,59.76
48071,1,0.07,59.83
48073,3,0.22,60.04
48077,1,0.07,60.11
48085,6,0.43,60.55
48091,2,0.14,60.69
48099,1,0.07,60.76
48105,1,0.07,60.83
48113,53,3.8,64.63
48115,1,0.07,64.71
48121,6,0.43,65.14
48139,1,0.07,65.21
48141,3,0.22,65.42
48157,5,0.36,65.78
48161,1,0.07,65.85
48167,6,0.43,66.28
48171,2,0.14,66.43
48181,2,0.14,66.57
48183,5,0.36,66.93
48189,2,0.14,67.07
48193,1,0.07,67.14
48199,1,0.07,67.22
48201,123,8.82,76.04
48203,1,0.07,76.11
48209,1,0.07,76.18
48213,2,0.14,76.33
48215,4,0.29,76.61
48223,1,0.07,76.69
48231,3,0.22,76.9
48241,1,0.07,76.97
48245,15,1.08,78.05
48251,2,0.14,78.19
48253,1,0.07,78.26
48257,1,0.07,78.34
48265,1,0.07,78.41
48273,1,0.07,78.48
48277,2,0.14,78.62
48287,1,0.07,78.69
48289,1,0.07,78.77
48291,3,0.22,78.98
48299,1,0.07,79.05
48303,12,0.86,79.91
48309,7,0.5,80.42
48321,2,0.14,80.56
48331,1,0.07,80.63
48339,13,0.93,81.56
48343,1,0.07,81.64
48347,1,0.07,81.71
48349,6,0.43,82.14
48351,1,0.07,82.21
48355,14,1,83.21
48357,1,0.07,83.29
48367,2,0.14,83.43
48371,2,0.14,83.57
48373,2,0.14,83.72
48375,11,0.79,84.51
48381,3,0.22,84.72
48387,1,0.07,84.79
48391,2,0.14,84.94
48403,1,0.07,85.01
48407,1,0.07,85.08
48409,1,0.07,85.15
48415,1,0.07,85.22
48419,1,0.07,85.29
48423,10,0.72,86.01
48439,38,2.73,88.74
48441,5,0.36,89.1
48451,3,0.22,89.31
48453,8,0.57,89.89
48455,1,0.07,89.96
48459,1,0.07,90.03
48465,1,0.07,90.1
48469,2,0.14,90.24
48471,5,0.36,90.6
48485,2,0.14,90.75
48487,2,0.14,90.89
48491,3,0.22,91.1
48499,1,0.07,91.18
49021,1,0.07,91.25
49035,2,0.14,91.39
49049,1,0.07,91.46
49057,3,0.22,91.68
51001,1,0.07,91.75
51009,1,0.07,91.82
51011,1,0.07,91.89
51013,3,0.22,92.11
51015,2,0.14,92.25
51019,3,0.22,92.47
51025,2,0.14,92.61
51027,1,0.07,92.68
51041,8,0.57,93.26
51059,5,0.36,93.62
51067,2,0.14,93.76
51069,1,0.07,93.83
51079,1,0.07,93.9
51083,2,0.14,94.05
51087,2,0.14,94.19
51095,1,0.07,94.26
51099,1,0.07,94.33
51117,2,0.14,94.48
51119,1,0.07,94.55
51121,1,0.07,94.62
51131,1,0.07,94.69
51139,1,0.07,94.76
51141,1,0.07,94.84
51143,5,0.36,95.19
51149,2,0.14,95.34
51153,9,0.65,95.98
51159,4,0.29,96.27
51161,2,0.14,96.41
51173,2,0.14,96.56
51175,1,0.07,96.63
51187,1,0.07,96.7
51195,1,0.07,96.77
51199,2,0.14,96.92
51550,1,0.07,96.99
51590,3,0.22,97.2
51600,2,0.14,97.35
51650,5,0.36,97.7
51683,1,0.07,97.78
51700,3,0.22,97.99
51710,1,0.07,98.06
51730,2,0.14,98.21
51740,5,0.36,98.57
51760,2,0.14,98.71
51790,1,0.07,98.78
51810,8,0.57,99.35
51830,3,0.22,99.57
53005,1,0.07,99.64
53011,1,0.07,99.71
53033,1,0.07,99.78
53061,2,0.14,99.93
56041,1,0.07,100
