county_code,population_adult,prison_entries_per_100,income_p_c,unemploy_per_100,poverty_per_100,pop_o_per,pop_b_per,crime_per_100,vio_offence_per_100,prop_offence_per_100,crime_idx,percent_reg_repub,percent_reg_repub_10,percent_poverty,pers_property_mill,drug_offences,income_p_c_100,unemploy_perc,drug_offence_per_100,hs_attainment_perc,male_perc,vio_crime_per_100,prop_crime_per_100,drug_percentage,vio_percentage,prop_percentage
37131,17357,391.7727718,15.413,3157.227632,25943.4234,1.485103686,59.4267862,2828.829867,414.818229,2414.011638,491,6.415959961,0.641595996,21.3,230.862,6,154.13,6.4,34.56818575,62.4,47.00697125,325.99837,1897.129403,1.207243461,14.48692153,84.30583501
37133,114757,209.137569,14.853,1578.988646,14741.58439,9.453626417,18.48292375,5057.643542,385.1616895,4672.481853,5804,34.32402718,3.432402718,12.9,951.972,61,148.53,3.5,53.15579877,84.3,56.51332816,293.9709355,3566.226597,1.040068201,7.536231884,91.42369991
37135,94147,196.5012162,24.873,933.6463191,16270.3007,8.168184932,14.10703621,5938.585404,426.9918319,5511.593572,5591,23.65040728,2.365040728,14.1,1028.57,41,248.73,1.3,43.54891818,87.7,47.89000181,347.9585566,4491.435199,0.727982955,7.137784091,92.13423295
37137,10549,284.3871457,18.005,1962.271305,17868.99232,2.257615587,24.57089841,2000.189591,170.6322874,1829.557304,211,25.21696008,2.521696008,15.3,146.676,7,180.05,3.5,66.35700066,75.3,50.01421936,139.1680841,1492.191124,3.211009174,8.256880734,88.53211009
37139,27231,448.0188021,14.815,2144.614594,21963.93816,3.026048084,40.04642233,4722.558848,653.6667768,4068.892072,1286,20.80205265,2.080205265,18.4,313.568,42,148.15,3.7,154.2359811,76.8,47.53406045,510.0724991,3175.058028,3.162650602,13.40361446,83.43373494
37141,32621,392.3852733,17.882,2504.521627,16642.65351,3.678009834,23.58453824,2771.220993,193.1271267,2578.093866,904,31.77790196,3.177790196,13.6,243.872,32,178.82,4.6,98.09631832,76.9,49.97087766,153.3518329,2047.125262,3.418803419,6.730769231,89.85042735
37143,9091,307.99692,15.728,1990.98009,21966.78033,1.187543983,27.99085151,2782.97217,241.99758,2540.97459,253,20.03678725,2.003678725,17.9,99.291,8,157.28,3.5,87.99912001,71.9,46.94753052,193.5256861,2032.019704,3.0651341,8.429118774,88.50574713
37145,27959,354.0899174,18.709,2968.632641,15104.25981,3.003677399,28.20930298,3848.492435,515.0398798,3333.452556,1076,23.08387745,2.308387745,12,574.423,18,187.09,4.7,64.37998498,74.9,47.58396223,404.2332201,2616.28723,1.645338208,13.16270567,85.19195612
37147,105507,406.6080924,18.243,3078.468727,24643.86249,4.273606481,33.66686858,8949.169249,827.4332509,8121.735999,9442,28.2669407,2.82669407,20.3,1603.427,132,182.43,4.5,125.1101823,79.9,46.49928441,652.8615978,6408.21424,1.378734071,9.118445791,89.50282014
37149,15036,119.7126895,19.804,1808.991753,12024.47459,1.850032744,5.888452303,1616.121309,192.8704443,1423.250865,243,39.27840147,3.927840147,10.1,198.929,3,198.04,3.2,19.95211492,80.5,46.80766161,158.2623881,1167.867278,1.219512195,11.78861789,86.99186992
37151,101294,204.355638,18.236,2242.975892,11651.23304,5.168105232,5.627304152,5111.852627,183.6239066,4928.22872,5178,52.95413607,5.295413607,9.1,2011.57,45,182.36,3.1,44.42513871,70,48.89134598,142.5604157,3826.137609,0.861573808,3.56117174,95.57725445
37153,35896,568.3084466,14.485,3590.929351,24387.11834,4.63018641,30.53246558,7588.589258,568.3084466,7020.280811,2724,16.51846563,1.651846563,19.6,502.6,58,144.85,6.5,161.5778917,69.2,48.25885893,438.1725627,5412.719892,2.084831057,7.332854062,90.58231488
37155,91322,415.0150019,13.224,5398.480103,29922.69114,42.08401236,25.13205832,9811.436456,925.2972997,8886.139156,8960,9.810229277,0.981022928,22.8,1172.363,73,132.24,9.1,79.93692648,64.9,47.84717812,685.6484449,6584.659326,0.808147902,9.35458873,89.83726337
37157,72774,355.8963366,17.12,3383.076373,15965.86693,3.104603603,19.56639979,4939.951081,397.1198505,4542.831231,3595,29.21139752,2.921139752,12.8,1561.713,57,171.2,5.3,78.3246764,68.9,47.46887625,314.3764685,3596.292751,1.560788609,7.91347207,90.52573932
37159,101580,594.6052373,18.071,3395.353416,13164.00866,4.207457419,15.77566365,4189.801142,446.9383737,3742.862768,4256,42.60143629,4.260143629,10.6,1753.795,142,180.71,5,139.7912975,74.2,48.90431187,348.319779,2916.986343,3.228740337,10.32287403,86.44838563
37161,49538,421.8983407,16.27,4453.147079,17184.78744,1.97300434,11.2335257,4449.109774,369.4133796,4079.696395,2204,31.46640879,3.146640879,13.9,828.745,32,162.7,7.3,64.59687513,70.5,47.40199443,290.9333715,3212.985485,1.431127013,8.184257603,90.38461538
37163,46337,455.3596478,14.976,2056.671774,22511.16818,10.28573328,29.94963515,5062.908691,336.664005,4726.244686,2346,37.0205174,3.70205174,17.6,613.315,28,149.76,3.9,60.42687269,69.2,49.07741114,259.3042004,3640.232044,1.179443976,6.571187869,92.24936816
37165,27022,603.2121975,15.693,4929.316853,26689.36422,11.19228846,37.31873993,7053.511953,569.9060025,6483.605951,1906,17.86119044,1.786119044,20.6,587.564,30,156.93,7.4,111.0206498,71.4,45.51106506,427.8015445,4866.937052,1.549586777,7.954545455,90.49586777
37167,45190,192.5204691,17.825,2613.410046,13343.6601,3.86746988,11.45783133,5494.578447,292.1000221,5202.478424,2483,40.82964958,4.082964958,10.7,718.271,8,178.25,4.3,17.70303164,73.3,48.65899535,227.1944923,4046.471601,0.321156162,5.299076676,94.37976716
37169,34934,214.6905593,18.13,2227.056736,11513.13906,1.907807922,4.66104538,3011.392912,306.2918647,2705.101048,1052,47.54302732,4.754302732,9.1,448.019,14,181.3,3.3,40.07557108,73.2,48.27102536,239.31471,2113.573841,1.313320826,10.03752345,88.64915572
37171,56233,328.9883165,17.722,2722.600608,15444.66772,5.435347309,4.16379952,4744.545018,759.3406007,3985.204417,2668,37.95527758,3.795527758,12.4,941.042,39,177.22,4.3,69.35429374,67,48.22613056,599.6433035,3147.074106,1.440709272,15.77391947,82.78537126
37173,10210,215.4750245,14.647,7688.540646,22722.82076,31.96329426,1.703538118,1694.417238,137.1204701,1557.296768,173,26.61856474,2.661856474,18.3,104.539,1,146.47,13,9.794319295,70.6,47.89422135,107.9164418,1225.622447,0.574712644,8.045977011,91.37931034
37175,24198,185.9657823,20.767,1248.037028,11191.00752,2.123815368,4.210131588,2636.581536,148.7726258,2487.80891,638,38.47200374,3.847200374,9.5,558.684,7,207.67,2.6,28.92801058,82.5,47.41300934,122.7244835,2052.226086,1.085271318,5.581395349,93.33333333
37177,3320,481.9277108,13.326,5602.409639,26114.45783,4.097372861,39.43118824,1777.108434,210.8433735,1566.26506,59,10.24471174,1.024471174,23.3,35.539,8,133.26,9.1,240.9638554,66.3,53.31325301,168.7153531,1253.314052,11.94029851,10.44776119,77.6119403
37179,92267,190.750756,21.978,1632.219537,10757.90911,4.654058556,12.50686747,5053.811222,393.4234342,4660.387788,4663,42.74086526,4.274086526,8.1,1819.256,44,219.78,2.2,47.68768899,80.2,49.32966283,293.2811945,3474.129852,0.93477799,7.711918419,91.35330359
37181,32543,712.9029284,15.897,5595.673417,26607.87266,3.482795549,48.30516366,9442.890944,995.6058138,8447.28513,3073,14.30605904,1.430605904,20.5,522.452,41,158.97,9,125.9871555,68,45.83166887,754.2952926,6399.869628,1.316634554,10.40462428,88.27874117
37183,485383,277.1007637,27.004,1162.793093,9824.200683,7.881232022,19.72139665,6012.983561,526.8004854,5486.183076,29186,35.33608937,3.533608937,7.8,9661.58,384,270.04,1.5,79.1127831,89.4,49.18590062,407.2654759,4241.326695,1.29861346,8.647277646,90.05410889
37185,15806,297.3554346,14.716,3694.799443,23541.69303,6.614259964,54.48628079,3100.088574,202.454764,2897.63381,490,9.262745098,0.92627451,19.4,178.583,11,147.16,7.5,69.59382513,67.4,48.70302417,160.224314,2293.210495,2.195608782,6.387225549,91.41716567
37187,10601,405.6221111,14.994,3735.496651,27874.7288,2.776360854,48.93973621,3377.039902,499.9528346,2877.087067,358,13.23283082,1.323283082,21.8,128.294,18,149.94,6.3,169.7953023,69.9,46.30695217,386.2129272,2222.546091,4.787234043,14.09574468,81.11702128
37189,36587,92.9291825,17.258,1011.288162,18479.24126,1.953390327,1.592766964,4118.949354,163.992675,3954.956679,1507,39.97917619,3.997917619,17.9,441.365,11,172.58,1.5,30.06532375,81.6,49.55038675,140.5382615,3389.314408,0.724637681,3.95256917,95.32279315
37191,86919,475.1550294,17.01,2290.63841,17369.04474,5.695806016,33.02067432,6764.919063,771.9831107,5992.935952,5880,31.82276751,3.182276751,13.8,1153.135,103,170.1,3.9,118.5011332,77.2,48.5946686,592.0814619,4596.352213,1.721544376,11.21510948,87.06334615
37193,52415,314.795383,17.516,2125.345798,14617.95288,2.88121648,4.163873484,3403.605838,312.8875322,3090.718306,1784,55.38052079,5.538052079,11.9,972.073,28,175.16,3.3,53.41982257,66,48.989793,249.8628801,2468.157718,1.545253863,9.050772627,89.40397351
37195,57065,611.5832822,17.102,4607.027074,23352.31753,4.839190397,39.33289076,7139.227197,776.3077193,6362.919478,4074,27.4625819,2.74625819,18.5,1260.075,112,171.02,6.8,196.2674144,69.4,46.82554981,600.1815448,4919.320968,2.675585284,10.58289537,86.74151935
37197,28477,231.7659866,18.576,2212.31169,12582.08379,4.027731925,3.427691123,2949.74892,242.3008042,2707.448116,840,60.88209859,6.088209859,10,615.61,10,185.76,3.4,35.11605857,72.1,48.41802156,189.815961,2120.987043,1.176470588,8.117647059,90.70588235
37199,14413,145.701797,16.335,1880.246999,19288.14265,,0.568245752,589.7453688,69.38180809,520.3635607,85,38.23161305,3.823161305,15.8,202.684,4,163.35,3.9,27.75272324,71.1,48.35218206,56.26195567,421.9646675,4.494382022,11.23595506,84.26966292
